BBOL.r,BBOL.r,ID#,Player Name,Bat Pow,Bat Con,Run,Speed,Arm Str,Arm Acc,Eye,Height,Coord,Attn,Aggr,Stamina,Int,Heat,S.Ball,L.Hook,R.Hook,C.Screw,Zig-Zag,B.Freeze,Fireball,Spitball,C.Ball,Slo-mo,Elevator,Bats,Throws,Gender,B-Day Month,B-Day Day,Nickname,,Offense,Speed,Defense,Pitching,Pitching (Cal),Best Position,OF,3B,SS/2B,1B,C,,Heat,,,,,H,S.Ball,,,,,S,L.Hook,,,,,L,R.Hook,,,,,R,Description of the Player,Pitching Type,B,R,P,F
1,TAKEN,81,Julie Dunkel,100,50,100,9,82,64,12,2,80,34,22,76,1,61,100,75,0,0,73,0,44,0,26,26,72,Left,Left,Girl,,,,,98,100,85,74,83,OF / P,89,84,86,65,79,,-37,3,13,115,59,47.0,-76,2,38,15,94.6,75.7,-51,2,26,59,78.9,63.1,24,2,0,279,0.0,0.0,"Max power + max speed, great pitcher, great fielder. Low eye and attn is a bit weird",,10,10,8,7
1,TAKEN,131,Henri Deschenes,100,50,100,9,82,64,12,2,80,34,22,76,1,61,100,75,0,0,0,73,0,44,0,26,72,Left,Left,Boy,,,,,98,100,85,74,83,OF / P,89,84,86,65,79,,-37,3,13,115,59,47.0,-76,2,38,15,94.6,75.7,-51,2,26,59,78.9,63.1,24,2,0,279,0.0,0.0,"Max power + max speed, great pitcher, great fielder. Low eye and attn is a bit weird",,10,10,8,7
3,TAKEN,86,Leah Wayne,100,63,95,7,72,78,35,2,100,71,56,54,55,90,74,28,100,0,27,0,0,0,50,50,0,Right,Right,Girl,,,,,97,75,76,81,81,P,84,73,76,70,72,,-66,3,22,40,86,68.5,-50,2,25,55,80.3,64.2,-4,2,2,212,24.0,19.2,-76,2,38,16,94.3,75.4,"Max power + fast, top tier pitcher, good fielder. Hard to go wrong",,10,10,9,10
3,TAKEN,136,Jay Green,100,63,95,7,72,78,35,2,100,71,56,54,55,90,74,28,100,0,0,27,0,0,0,50,0,Right,Right,Boy,,,,,97,75,76,81,81,P,84,73,76,70,72,,-66,3,22,40,86,68.5,-50,2,25,55,80.3,64.2,-4,2,2,212,24.0,19.2,-76,2,38,16,94.3,75.4,"Max power + fast, top tier pitcher, good fielder. Hard to go wrong",,10,10,9,10
5,TAKEN,180,Lindsy Felgate,95,72,96,8,54,100,79,2,10,84,8,79,13,100,8,10,74,73,0,44,0,26,0,87,65,Right,Right,Girl,,,,,99,88,68,60,73,OF,88,96,96,85,88,,-76,3,26,22,92,73.7,16,2,0,279,0.0,0.0,14,2,0,279,0.0,0.0,-50,2,25,85,69.5,55.6,"Elite power + speed, good outfielder, decent pitcher. Tends to trip on the basepath a lot",,10,10,7,3
6,TAKEN,36,Sammy Sosa,100,50,79,6,98,60,69,3,60,62,82,65,50,12,42,25,86,46,19,23,90,50,0,82,0,Right,Right,Boy,Nov,12,Slammin',,94,60,92,50,50,3B / SS,88,96,96,85,88,,12,3,0,279,0,0.0,-18,2,9,152,45.5,36.4,-1,2,1,221,20.8,16.6,-62,2,31,44,84.2,67.4,"Max power, top tier fielding, the best offense + defense combo",,10,8,5,7
6,TAKEN,237,Cheryl Reynolds,100,50,79,6,98,60,69,3,60,62,82,65,50,12,42,25,86,46,19,23,90,50,0,82,0,Right,Right,Girl,,,,,94,60,92,50,50,3B / SS,90,57,57,66,57,,12,3,0,279,0,0.0,-18,2,9,152,45.5,36.4,-1,2,1,221,20.8,16.6,-62,2,31,44,84.2,67.4,"Max power, top tier fielding, the best offense + defense combo",,10,8,5,7
8,TAKEN,20,Pete Wheeler,80,50,100,9,82,64,12,4,80,34,12,76,1,20,25,30,0,0,73,0,44,0,0,26,72,Left,Left,Boy,Oct,13,Wheelie,,92,100,95,17,17,OF,95,95,91,98,72,,4,3,0,279,0,0.0,-1,2,1,215,22.9,18.4,-6,2,3,202,27.6,22.1,24,2,0,279,0.0,0.0,"Max speed, top tier fielder, good hitter. Poor eye and attn can be awkward to play with",,8,10,2,7
9,TAKEN,118,Chico Pappas,95,95,95,7,44,52,91,2,30,85,41,60,98,10,34,47,86,0,0,89,0,31,41,0,0,Right,Right,Boy,,,,,99,75,62,54,54,OF,84,50,50,64,48,,14,3,0,279,0,0.0,-10,2,5,186,33.3,26.7,-23,2,12,155,44.4,35.6,-62,2,31,44,84.2,67.4,"Top tier offensive player, still okay as an outfielder even if not great",,10,10,5,4
10,TAKEN,58,Jose Canseco,100,19,70,6,80,80,90,4,10,50,81,95,40,28,45,0,75,0,60,44,0,86,39,0,0,Right,Right,Boy,Jul,2,No Way,,93,60,88,49,64,1B / OF,91,86,79,97,69,,-4,2,2,208,25,25.4,-21,2,11,142,49.1,39.3,24,2,0,279,0.0,0.0,-51,2,26,75,73.1,58.5,"Max power, great eyesight, good fielder, best non-specialized 1B in the game",,8,8,6,4
10,TAKEN,259,Tonya Lesco,100,19,70,6,80,80,90,4,10,50,81,95,40,28,45,0,75,0,60,44,0,86,39,0,0,Right,Right,Girl,,,,,93,60,88,49,64,1B / OF,91,86,79,97,69,,-4,2,2,208,25,25.4,-21,2,11,142,49.1,39.3,24,2,0,279,0.0,0.0,-51,2,26,75,73.1,58.5,"Max power, great eyesight, good fielder, best non-specialized 1B in the game",,8,8,6,4
12,TAKEN,56,Ken Griffey Jr.,100,37,73,6,74,76,55,3,100,53,79,70,93,48,45,73,0,0,81,0,58,70,0,0,71,Left,Left,Boy,Nov,21,Junior,,93,60,76,52,52,3B / SS,71,75,73,80,71,,-24,3,8,156,44,35.3,-21,2,11,142,49.1,39.3,-49,2,25,77,72.4,57.9,24,2,0,279,0.0,0.0,"Max power, good fielder, recovers from errors pretty quickly",,9,8,5,10
12,TAKEN,257,Susan Gore,100,37,73,6,74,76,55,3,100,53,79,70,93,48,45,73,0,0,81,0,58,70,0,0,71,Left,Left,Girl,,,,,93,60,76,52,52,3B / SS,71,75,73,80,71,,-24,3,8,156,44,35.3,-21,2,11,142,49.1,39.3,-49,2,25,77,72.4,57.9,24,2,0,279,0.0,0.0,"Max power, good fielder, recovers from errors pretty quickly",,9,8,5,10
